Group,Shapiro_stat,Shapiro_p,Mean,SD,Test_to_use
enriched,0.9730935582552271,0.07549862980810089,938.1411283791898,184.89271085075427,t-test
simplified,0.8858646663985306,1.7817457327714805e-06,1097.388862442581,310.7578434836396,wilcoxon
