Participant,Window,Start,Mean_X,Std_X,Mean_Y,Std_Y,Dispersion
enriched,30s_1,0,1030.7481488199685,423.69024370376513,523.7921316825481,192.0556344196957,465.18683270499787
enriched,30s_2,30,948.55609483951,419.01548962378763,506.54899956962964,242.5306191059333,484.1436581724166
enriched,30s_3,60,566.5685295507504,427.2836922153111,629.1417960346523,454.7086367172627,623.9641800122987
enriched,30s_4,90,1155.7649127387967,350.66095030970297,614.6225302612598,106.64788590810016,366.51994985371687
enriched,30s_5,120,1172.3486670393972,250.73060251617352,686.8527026964405,210.61773264188423,327.45330100845166
enriched,30s_6,150,943.9021619192456,428.597604055282,428.8900087752107,254.81330961291602,498.62383512806133
enriched,30s_7,180,476.6649159427597,341.8518677036849,780.8868969350021,510.0172786470169,613.9872343713723
enriched,30s_8,210,628.1366606835313,371.9556265588383,646.5147087317218,336.4514846475466,501.54819274952655
enriched,30s_9,240,372.590659811696,266.9808477159727,705.3261777556096,64.19856931603935,274.5910219751653
enriched,30s_10,270,382.9861661475101,321.8910616718986,693.6944332736873,94.21404086024604,335.39549949198505
enriched,30s_11,300,442.7469943694548,289.6014827786898,682.9637155994653,121.61171614335946,314.0993924396365
enriched,30s_12,330,1181.9499604353762,332.1068017692084,543.0523098122658,153.30395468288177,365.78276381314544
enriched,30s_13,360,1358.1059800482149,256.31106884171584,600.5085483424598,210.3144377987597,331.5532035094687
enriched,30s_14,390,967.0526043891097,272.17141058959965,1063.4732158718523,559.8882724230942,622.5368698633434
enriched,30s_15,420,735.3385791637238,352.19957656954216,552.3629581028516,202.0559287262172,406.0432736410972
enriched,30s_16,450,328.35419162433544,264.57244297514416,702.1035775921551,59.49877542385159,271.1801649434815
enriched,30s_17,480,734.7983835004195,508.80184574564595,687.6077699669324,100.24700994219288,518.5834371020021
enriched,30s_18,510,1012.9647022907691,468.19962351639356,628.3992927437489,195.3186089206541,507.30685630256573
enriched,30s_19,540,885.7116293574129,285.5602620420779,1195.413021143512,571.6010133430666,638.9619563889237
enriched,30s_20,570,647.5858807740077,439.099354299362,375.240069352002,321.06543675946574,543.9588749415374
enriched,30s_21,600,403.0376809825477,289.2490720552383,677.2961039070269,83.94015662700411,301.1826282828782
enriched,30s_22,630,823.184522001749,551.6378190685147,635.374081575203,145.66505367181537,570.5458713266447
enriched,30s_23,660,1085.8102794219024,334.902133297653,900.6895585233115,608.3965948536988,694.4824371551052
enriched,30s_24,690,674.9738218222255,352.2373379482262,554.0236636633481,373.0369094554588,513.0571879049479
enriched,30s_25,720,409.3400290199235,298.31513190536697,618.7955474245914,79.89054529275778,308.82748768671917
enriched,30s_26,750,366.80276085940125,295.7108287819997,706.5900210465525,111.26601758701707,315.9509786796229
enriched,30s_27,780,1128.774111028341,379.97057836403894,596.75584400386,197.37983538315598,428.1780468895901
enriched,30s_28,810,1352.3621710354125,187.51355652028735,531.4786383702166,154.09858702919811,242.70910243186668
enriched,30s_29,840,1083.4872659891855,323.5689856279919,1041.1156688599508,485.15615789624604,583.1581140693961
enriched,30s_30,870,1418.1099128796102,209.85030391369148,552.186999054313,248.7116910014339,325.4145898595535
enriched,30s_31,900,1508.3503430512392,296.95542706191185,706.1029900660974,341.6225887037305,452.6461297461414
enriched,30s_32,930,946.1825706743708,208.7761112561191,873.7934985620286,549.790545909378,588.0961732595778
enriched,30s_33,960,625.1439386559765,365.04230944127363,523.2187316295356,434.69509122824275,567.6404760234676
enriched,30s_34,990,397.60197100121576,290.17786574936054,578.4177259832032,80.32384601581532,301.08987696305286
enriched,30s_35,1020,311.4703885270024,273.3120917992141,664.8111187755871,138.23602934745276,306.28205845823203
enriched,30s_36,1050,1072.0937797691552,478.27359432437135,597.601241497965,252.74145008150694,540.9471985483021
enriched,30s_37,1080,954.4454064931249,220.74685278507778,920.6183600504137,549.8512406227235,592.5078563435804
enriched,30s_38,1110,838.8060554709125,360.796447173223,710.7565503482621,471.98027522297326,594.0870782068685
enriched,30s_372,11130,907.6354922647571,397.3702453754885,653.9111708907145,244.4774991014852,466.553704815097
enriched,30s_373,11160,583.5811091298243,369.9564416901955,465.38278613289475,179.83889304896815,411.35118354169015
enriched,30s_374,11190,243.9679957013727,214.26185622321972,705.4707555232409,144.11467355141852,258.2192521193019
enriched,30s_375,11220,309.96308142581927,259.8913311753879,739.3969200150007,143.11269062503973,296.68964632769627
enriched,30s_376,11250,324.4706082912399,243.6552900176196,576.8140257916343,314.8089424158071,398.08613462230664
enriched,30s_377,11280,981.0795526226226,448.0657380120981,518.3591438046775,175.43060982978128,481.1847924088781
enriched,30s_378,11310,1248.702354858874,174.99404940820958,527.166884962829,139.70492262093893,223.92048305772616
enriched,30s_379,11340,1156.2791885028225,329.56630514189385,646.6900142856056,362.57030179543057,489.9705840445011
enriched,30s_380,11370,955.1063442254214,266.8008247639213,726.3525575981743,451.1135630523412,524.1050723514201
enriched,30s_381,11400,516.0639122844342,376.22251628079994,464.7391708703233,261.13718275381626,457.9694421828347
enriched,30s_382,11430,344.61767456389816,259.4442028389381,663.0272000186283,126.47552608831964,288.630131978713
enriched,30s_383,11460,459.330360155615,443.44752115923717,645.3066997231714,127.37162840948689,461.3775414407993
enriched,30s_384,11490,309.52292414613436,254.5322588986746,726.0736384313916,89.75067529437052,269.8923017350763
enriched,30s_385,11520,556.1014065376477,385.055436457289,642.9443223561558,165.68153041253177,419.1873789430593
enriched,30s_386,11550,912.7195778715128,468.7548595494917,519.7511475531375,163.71554515161006,496.5218002017158
enriched,30s_387,11580,1213.6938743917133,329.8595159534604,558.12940231708,153.2966278222037,363.74050690940436
enriched,30s_388,11610,793.4292472861167,257.0993248186731,1254.2284728385887,513.2265208217752,574.0222334518426
enriched,30s_389,11640,873.5242991284748,300.4060524209329,695.5730544766366,489.68178223656463,574.4841548602594
enriched,30s_390,11670,543.6085210306729,360.90266773148795,624.5227668334053,209.81540350422625,417.46046414402656
enriched,30s_391,11700,258.3495279691874,225.1116880144958,742.7633364600833,108.25186539254713,249.78738647438112
enriched,30s_392,11730,350.2172015035261,321.34797443396906,680.4222900981647,161.25482548508234,359.53809174417
enriched,30s_393,11760,411.53079869374466,303.6376983931881,648.9535153121079,195.06484299569053,360.89630762650654
enriched,30s_394,11790,629.1709686667626,392.84607156775195,525.6686209788684,133.6689155102243,414.9643537942684
enriched,30s_395,11820,960.6623753929648,445.7049176983543,495.9161865706803,173.1603946986865,478.1604290954048
enriched,30s_396,11850,915.6202187951183,252.6610981839504,916.7036897958925,527.120873354787,584.546016718815
enriched,30s_397,11880,965.334029091107,180.04987115915083,588.573576553386,323.08081894619806,369.86372040979205
enriched,30s_398,11910,963.9230006140494,299.8220258642145,659.3338790748965,399.85495299733947,499.77718098151126
enriched,30s_399,11940,510.40631471653813,291.8530464463154,441.0360731395496,142.1951223235681,324.6500477939432
enriched,30s_400,11970,358.7741029460495,258.25699028584023,358.7246752979682,65.42226769428447,266.414613228635
enriched,30s_401,12000,527.6002618944316,280.07173098465165,469.75908967040203,149.13318899542182,317.302509534172
enriched,30s_402,12030,457.0566706858609,281.83316943250367,602.901012231408,135.2592680975288,312.60998864183705
enriched,30s_403,12060,877.0670958059595,510.81742411565455,446.16810804087396,121.37706704553955,525.0398396166999
enriched,30s_404,12090,896.914873213298,478.30820737537624,459.71039864844346,134.84754625336,496.95331971242325
enriched,30s_405,12120,897.1533709493337,422.00398646905825,887.0628764807354,473.30472677705444,634.1172833043421
enriched,30s_406,12150,974.0263981843221,281.7141567086108,804.6470418740782,513.551192622188,585.7454169976196
enriched,30s_407,12180,961.1373592632997,254.73082747572673,661.6019199154119,390.11467400982934,465.9155002189387
enriched,30s_408,12210,919.7476543720361,298.2020824412113,696.9974009720423,446.35855889539965,536.8057796554103
enriched,30s_409,12240,546.3988951282025,285.89354892167273,547.5483321816683,166.7973044334405,330.99314506691934
enriched,30s_410,12270,293.9071593998633,238.4065453930933,579.1046174464409,145.30427441421844,279.19708639115765
enriched,30s_411,12300,435.4360631451495,363.22231433049876,683.7733858219048,74.36669202589445,370.7571368301329
enriched,30s_412,12330,382.009642946924,286.08868644210196,632.2285786823527,141.5057488886896,319.1717617188529
enriched,30s_413,12360,1162.1741499819238,227.36453993644216,491.5519884117892,131.42876651384915,262.61788721993383
enriched,30s_414,12390,942.0012100035333,295.20571291551204,681.2837458258963,385.0495367390557,485.19022937495055
enriched,30s_415,12420,936.8817623294822,173.9554352245135,591.2826904115499,278.7639880961567,328.5876663896929
enriched,30s_416,12450,925.2395098564812,251.67595291357898,592.5262627551955,307.88549962188097,397.66099400415584
enriched,30s_417,12480,973.9853500056762,372.5949854502993,541.9742009372525,335.02577012743626,501.068148890139
simplified,30s_132,3930,1065.6098787836356,421.3736536991843,704.6614425779517,204.98798269552472,468.589190102995
simplified,30s_133,3960,692.1548081891812,346.55018253119516,412.258615810631,321.4865129970602,472.70562409539156
simplified,30s_134,3990,464.0836562874886,329.34600920760647,503.8036005674499,119.2350811707775,350.26532566438647
simplified,30s_135,4020,398.5684324117422,253.1035824335545,643.2232849306865,82.3083680752653,266.15050421878306
simplified,30s_136,4050,427.23768796482756,266.21107057323303,551.8420398102968,132.5646309168796,297.3915188196788
simplified,30s_137,4080,457.41755662943467,260.9134289769153,576.7497156127182,123.47870504487747,288.65690364176584
simplified,30s_138,4110,408.36639473017283,246.0889911191435,584.9324783842363,56.53159519864009,252.49873822603706
simplified,30s_139,4140,443.13552668043496,258.1982627952535,507.61549307705866,152.46067974989634,299.85096594856464
simplified,30s_140,4170,428.7093952729382,264.254939634141,636.5553311338364,115.77850243330614,288.5053461319956
simplified,30s_141,4200,460.7183835590739,268.44322089581163,554.8892390365767,159.71298570923503,312.36197055511707
simplified,30s_142,4230,489.0300952066333,253.8314218447678,543.8358660293226,99.96171412268777,272.80530604459
simplified,30s_143,4260,1264.59207843053,271.5416243455922,595.4274155203477,166.72442064079036,318.64068508313545
simplified,30s_144,4290,1355.5592137155995,143.414435280023,679.4942897146306,207.38921560007725,252.1467568577935
simplified,30s_145,4320,907.8318475140248,382.4730800308001,502.99591631221693,300.6305973084453,486.4816676774978
simplified,30s_146,4350,838.5094898747578,221.30434103699284,1070.7809105274557,549.9631586145836,592.8196076338461
