Participant,Window,Start,Total_time_s,Pct_area1,Pct_area2,Pct_middle
P1,window_1,0,30.027113000005485,29.37170816243524,65.58716017748894,5.041131660075825
P1,window_2,30,29.781771799996495,36.73959485507708,60.21998932921727,3.040415815705649
P1,window_3,60,30.211610899999737,77.89887496530493,19.893144790843454,2.2079802438516127
P1,window_4,90,29.997129800006746,17.90280215404988,77.56244065726223,4.534757188687883
P1,window_5,120,29.995362599998714,9.9704518991095,82.45164637542379,7.577901725466702
P1,window_6,150,29.99851789999008,22.776321226087735,67.34821855999387,9.875460213918398
P1,window_7,180,29.996435000002386,75.33380383370518,23.760179501325116,0.906016664969712
P1,window_8,210,29.996319900006057,79.54411601004412,16.31693259804325,4.138951391912629
P1,window_9,240,30.00046519999206,99.80070275707503,0.19929724292497006,0.0
P1,window_10,270,29.991555500000715,96.175244395053,3.8247556049469993,0.0
P1,window_11,300,30.026058500006794,99.59146486044553,0.30762179461047356,0.10091334494399279
P1,window_12,330,30.000319600000978,9.176132243663009,88.90031991519568,1.9235478411413074
P1,window_13,360,29.99412160000205,0.504693559680505,98.18179539554954,1.313511044769959
P1,window_14,390,29.995538499996066,28.38702462369538,54.57142334676242,17.0415520295422
P1,window_15,420,29.999172600001096,68.08708617516756,23.35456745235606,8.558346372476382
P1,window_16,450,29.996962300002576,100.0,0.0,0.0
P1,window_17,480,29.99717339999974,64.44669750117811,34.346943168953175,1.206359329868725
P1,window_18,510,29.99714999999106,25.76465764249206,71.29870404357062,2.936638313937316
P1,window_19,540,30.000976700007914,40.97160843431137,45.8426735152862,13.185718050402425
P1,window_20,570,30.02244539999962,64.01664502650367,27.329003319713067,8.654351653783268
P1,window_21,600,29.997056199997665,100.0,0.0,0.0
P1,window_22,630,29.99913750000298,47.23037320657947,49.4564438726818,3.313182920738728
P1,window_23,660,29.99484849999845,17.6501778296392,75.51010467679927,6.839717493561531
P1,window_24,690,29.995388300001622,59.83689766069149,32.34465979561189,7.818442543696622
P1,window_25,720,29.996119099989535,100.0,0.0,0.0
P1,window_26,750,29.998549000009895,97.58046797532015,2.111922480001611,0.30760954467823914
P1,window_27,780,29.996010199993847,16.516737282590196,74.72021362358483,8.76304909382498
P1,window_28,810,29.99744770000875,0.0,100.0,0.0
P1,window_29,840,29.333501999989153,23.179537172129944,72.18771526157539,4.6327475662946656
P1,window_30,870,30.692352899998426,15.141966518949738,84.07085662050099,0.7871768605492713
P1,window_31,900,29.99753210000694,2.606739772377603,76.68925238019058,20.704007847431818
P1,window_32,930,29.994858099997042,22.663673477946293,62.02228474624358,15.314041775810127
P1,window_33,960,29.995141300007703,64.35779717429078,23.152042627657192,12.49016019805203
P1,window_34,990,29.9977784999907,100.0,0.0,0.0
P1,window_35,1020,29.999672900006175,100.0,0.0,0.0
P1,window_36,1050,26.4584415999949,37.67696696088701,60.60432712707501,1.7187059120379886
P1,window_37,1080,33.53307629999519,14.319613437897738,76.03122860517684,9.64915795692543
P1,window_38,1110,20.085515200003982,35.490552415589065,49.63845089714115,14.870996687269786
P2,window_132,3930,14.471276600003243,31.11895463321719,66.9722116982769,1.9088336685059217
P2,window_133,3960,29.998106199994684,67.38785963752261,26.980429184654884,5.631711177822506
P2,window_134,3990,30.02407380001247,90.53870864122321,9.461291358776798,0.0
P2,window_135,4020,29.997325999990107,99.39410432784017,0.0,0.6058956721598311
P2,window_136,4050,28.185285899996757,99.23583496456177,0.33356908398977747,0.4305959514484514
P2,window_137,4080,31.80799770000577,100.0,0.0,0.0
P2,window_138,4110,29.99674199999869,99.80022830480382,0.0,0.19977169519617294
P2,window_139,4140,29.997162799999117,100.0,0.0,0.0
P2,window_140,4170,29.996937800005078,99.50244821321377,0.0,0.49755178678622675
P2,window_141,4200,29.996984999999405,100.0,0.0,0.0
P2,window_142,4230,29.99567200000584,97.76525260048994,0.3237817109025334,1.910965688607517
P2,window_143,4260,30.028592499986292,5.6241240743792975,91.65697593049457,2.7188999951261303
P2,window_144,4290,29.998219600006937,0.0,100.0,0.0
P2,window_145,4320,29.99765279999375,39.7666306745449,48.22709895496785,12.00627037048725
P2,window_146,4350,29.993648699998854,41.094374090024566,38.10552031945906,20.800105590516374
P2,window_147,4380,29.239101300001145,83.90696091603827,10.927389892119834,5.16564919184189
P2,window_148,4410,30.665393700003623,99.39524989695165,0.0,0.6047501030483484
P2,window_149,4440,30.05145309999585,96.64342653704195,1.6300542884704632,1.7265191744875876
P2,window_150,4470,29.486705200001598,98.64725374612085,0.0,1.3527462538791455
P2,window_151,4500,30.544332200005652,80.21440946749665,10.583879126284993,9.201711406218351
P2,window_152,4530,29.997290199995042,1.81956535526671,97.28076571399684,0.8996689307364447
P2,window_153,4560,30.024241600006818,24.779660712522332,62.78623603946256,12.43410324801511
P2,window_154,4590,29.996141900002957,24.876160157119692,56.795239723830626,18.328600119049685
P2,window_155,4620,29.997611499994992,41.087716267059506,49.52176942490027,9.390514308040226
P2,window_156,4650,29.995694000005724,96.37382352282529,0.0,3.6261764771747154
P2,window_157,4680,29.996466799989342,99.49543357553084,0.0,0.5045664244691618
P2,window_158,4710,29.9986045999974,22.57012314495637,74.02626387497418,3.403612980069446
P2,window_159,4740,29.996252400010825,33.615880295897725,48.45751164567063,17.92660805843165
P2,window_160,4770,29.996662499994038,24.489059407763047,58.69381568686123,16.81712490537572
P2,window_161,4800,29.99635490000248,66.42311496321166,26.171893972391448,7.404991064396891
P2,window_162,4830,30.02633210000396,98.69262319921742,1.2071644275557958,0.10021237322677824
P2,window_163,4860,29.99768449999392,97.78456067170148,2.21543932829852,0.0
P2,window_164,4890,29.998072200000287,40.67594050258946,52.57985844838349,6.744201049027046
P2,window_165,4920,29.998070999994873,31.189717165492493,47.228178438661594,21.582104395845917
P2,window_166,4950,29.99575260001421,25.093862122391307,58.4026539811319,16.503483896476794
P2,window_167,4980,29.964898099988698,92.792008526838,2.3119558013604795,4.896035671801514
P2,window_168,5010,30.02546369999647,75.45339624517632,23.137872138836496,1.4087316159871772
P2,window_169,5040,29.99991590000689,33.266503257066375,57.83206278928952,8.9014339536441
P2,window_170,5070,29.99947319999337,43.418683098719846,44.67082375307808,11.910493148202073
P2,window_171,5100,30.02292640000582,97.8312050886479,0.28797559188375127,1.8808193194683496
P2,window_172,5130,29.999049099996686,24.56827839919473,73.81916582151575,1.6125557792895173
P2,window_173,5160,29.99613819999993,43.84383520407359,35.51299646967089,20.64316832625552
P2,window_174,5190,3.3536996000111103,37.8409294616716,54.08295960705856,8.076110931269843
P3,window_372,11130,16.946943000003696,39.077480227626296,60.56183997306509,0.36067979930861666
P3,window_373,11160,30.027226800009608,81.09836669966555,15.083875478023554,3.8177578223109006
P3,window_374,11190,29.996693700000645,100.0,0.0,0.0
P3,window_375,11220,29.996948699995876,96.78162732593934,1.1045910146352884,2.113781659425366
P3,window_376,11250,29.99665459999442,98.1882352974338,1.8117647025661885,0.0
P3,window_377,11280,29.99680460000038,30.518406617274294,67.96654734342077,1.5150460393049385
P3,window_378,11310,29.99704129999876,0.0,100.0,0.0
P3,window_379,11340,29.996146700009703,20.856522881265946,70.36839801818581,8.775079100548243
P3,window_380,11370,29.99690089999139,26.66891632133223,63.32322650035572,10.00785717831205
P3,window_381,11400,29.99730110000074,78.55986884088404,16.692886081096184,4.747245078019783
P3,window_382,11430,29.996539000004528,100.0,0.0,0.0
P3,window_383,11460,30.0272133000046,82.31485070910335,15.581047942261002,2.104101348635648
