Measure,MannWhitneyU_statistic,P_value,Mean_simplified,Mean_enriched
Nb_Fixations,54612.0,2.399891134153554e-09,11.081566068515498,62.76555023923445
Mean_Duration_ms,54960.0,9.016910783880475e-09,19.842563238056513,64.65330426979499
