Group,Shapiro_stat,Shapiro_p,Mean,SD,Test_to_use
First_minute_Mean_X,0.8611979579077637,0.23258147419587089,735.9921845196716,156.0547428081471,t-test
Last_minute_Mean_X,0.9985543912255069,0.9993170567947195,951.5979704448916,39.7319074885147,t-test
First_minute_Std_X,0.8850931407157226,0.33303096453542347,393.08298928596474,34.92437005565008,t-test
Last_minute_Std_X,0.886597013485193,0.340281011403455,323.8187329877138,16.47438911761006,t-test
First_minute_Mean_Y,0.8745062574254238,0.2851530151436029,557.5255514104191,67.49020640326665,t-test
Last_minute_Mean_Y,0.8532238620959173,0.20492537509311298,685.9107792521132,156.29525005777384,t-test
First_minute_Std_Y,0.7868202897255904,0.06300383668239172,251.20117660134738,43.51186057551295,t-test
Last_minute_Std_Y,0.8956908795262315,0.3865293383741692,408.2878632309906,120.20777298673053,t-test
