Measure,Shapiro_stat_simplified,Shapiro_p_simplified,Shapiro_stat_enriched,Shapiro_p_enriched,Test_to_use,Mean_simplified,Mean_enriched
Nb_Fixations,0.28407241782502957,2.5811342584938027e-43,0.521540961419408,1.5360804265093383e-23,wilcoxon,11.081566068515498,62.76555023923445
Mean_Duration_ms,0.28974455312949665,3.3693370063706897e-43,0.5335327980672717,2.7581521108712616e-23,wilcoxon,19.842563238056513,64.65330426979499
