Measure,Wilcoxon_statistic,P_value,Mean_simplified,Mean_enriched
Mean_X,3367.0,0.5243133640146994,722.0035005654281,762.3687657393224
Std_X,3092.0,0.1332574771183564,307.34147026178135,323.8331598663109
Mean_Y,2316.0,8.103536077109274e-05,573.5007168200914,647.8461766142476
Std_Y,2748.0,0.00979449548241361,204.15578753664022,253.36209718406258
