Measure,Wilcoxon_statistic,P_value,Mean_simplified,Mean_enriched
Nb_Fixations,58.0,2.3994694664692346e-28,79.91764705882353,155.95238095238096
Mean_Duration_ms,1820.0,3.779320590039287e-08,283.2405345998306,315.4772311591863
