Participant,Window,Num_Points,Std_X,Std_Y,Mean_Speed
P4,minute_19,1726,285.2561746480231,102.78512534720471,805.0284612245785
P4,minute_20,1618,443.40992253393915,194.7366474395636,909.1314492951229
P4,minute_21,1424,312.4465709748492,228.50371739656327,1081.2313904593714
P5,minute_1,1898,385.3021351189375,312.8859292031954,872.9136532858489
P5,minute_2,1980,276.9925506970815,230.99812880920734,871.7208566729604
P5,minute_3,1865,267.50314062774197,114.58611878697297,880.1886268956247
P5,minute_4,1925,399.02304199781963,104.18062672394092,1035.1896153846615
P5,minute_5,1972,219.94214549686905,132.331832696732,769.4150791187993
P5,minute_6,1947,167.7299743418675,75.22894388427345,573.3877402293219
P5,minute_7,1964,269.1888014753212,435.5584657217471,937.8425980464305
P5,minute_8,1972,314.5482826730312,176.68676507679234,911.0179343464966
P5,minute_9,1919,340.2317361506728,75.08779778534192,1041.804706929758
P5,minute_10,1917,200.21272392196093,118.04280347219928,640.6932394238323
P5,minute_11,1822,366.28132787254293,415.58323068092864,1129.0247432071383
P5,minute_12,1978,396.4516364784752,298.64243226971934,993.3636768593002
P5,minute_13,1933,402.4703688195147,446.09080216674926,1161.4828626450053
P5,minute_14,1986,422.24955240408906,262.45141525302023,855.9096468127016
P5,minute_15,1974,355.3332513662805,422.1427460574305,1160.2998264153907
P5,minute_16,1722,330.3674629596389,471.5160276124861,1164.9934939136324
