Participant,Window,Num_Points,Std_X,Std_Y,Mean_Speed
P1,minute_1,1962,423.36681155747056,218.84708036970653,935.4707904480562
P1,minute_2,1723,487.90966940286665,323.47739524909906,990.975570892229
P1,minute_3,1743,361.64127566800056,265.0067193273072,1065.8841008683003
P1,minute_4,1740,365.5492543134056,435.00446751190077,1214.3000782512593
P1,minute_5,1963,296.07915962579375,80.9973928992126,751.0009391020034
P1,minute_6,1824,483.5986078045482,155.17763567995624,1117.022551137844
P1,minute_7,1860,329.01739639163594,489.44156688741435,926.2566466992328
P1,minute_8,1980,372.16395205446,166.821480562893,800.029580069264
P1,minute_9,1903,509.1444901011599,156.0817066516882,922.7596974870418
P1,minute_10,1887,386.94384621205376,621.517095951508,1104.0593931680087
P1,minute_11,1883,481.63175544495573,119.09068577307112,831.1772277227665
P1,minute_12,1760,400.6040020448537,521.2950229331632,1008.6009565879788
P1,minute_13,1979,297.77871265857243,106.32357154552639,824.6460995507406
P1,minute_14,1765,317.80259967684196,179.55808453055016,897.2711640570672
P1,minute_15,1369,325.98359511537154,469.02331926426183,1182.0268460580314
P1,minute_16,1404,376.89014398111925,474.8164542568763,1005.3093255827273
P1,minute_17,1977,348.6659584178972,313.1331072992504,901.7303548862434
P1,minute_18,1627,522.4119943857305,194.19294122989368,922.352215541777
P1,minute_19,1302,300.88771030421753,525.107566214294,991.9043382995184
P2,minute_1,1931,397.8057361072732,281.70812994416076,1179.8394701380246
P2,minute_2,1975,235.43813788348777,106.4643247174097,869.1254717880946
P2,minute_3,1692,259.31395458641293,114.24286852314995,1065.932109048585
P2,minute_4,1972,261.4035085801837,136.8740656403367,966.8187102932932
P2,minute_5,1941,264.1602938447963,143.77732754852212,1038.5895693050263
P2,minute_6,1808,375.35599736437814,183.3706914866814,968.9793685363497
P2,minute_7,1762,372.37288117109546,431.82348096493797,1278.6534018584816
P2,minute_8,1384,294.98011341346546,503.3410440512144,1405.3060112067594
P2,minute_9,785,210.07243464043668,143.9876391500815,1112.65435243467
P2,minute_10,1331,396.1086844644817,163.20421327186477,997.138168557567
P2,minute_11,1939,354.085606950827,533.9530063909236,1452.929254905948
P2,minute_12,1944,326.5262447352305,460.8189091519562,1374.4232264832092
P2,minute_13,1964,371.54848240673255,119.4011723956973,979.2765136955235
P2,minute_14,1933,258.50918370084844,470.6879745633092,1586.3448529977438
P2,minute_15,1956,341.9941126173688,377.5001589166801,1467.189028047309
P2,minute_16,1972,293.82051070458635,161.26564109376864,1108.8996597119176
P2,minute_17,1955,274.8630249207242,500.99315470071895,1581.3840825179018
P2,minute_18,1948,332.74122869336617,273.5460015407737,1385.509423041823
P2,minute_19,1951,348.2264879230172,518.1786657842995,1614.6111849699273
