Measure,Shapiro_stat_simplified,Shapiro_p_simplified,Shapiro_stat_enriched,Shapiro_p_enriched,Test_to_use,Mean_simplified,Mean_enriched
Mean_X,0.9348445335107781,0.000333469668441061,0.9452361507891711,0.0013614188339766764,wilcoxon,722.0035005654281,762.3687657393224
Std_X,0.9200385276786605,5.833656146045799e-05,0.9656018526015852,0.024094158517885846,wilcoxon,307.34147026178135,323.8331598663109
Mean_Y,0.8641660396389552,2.6106983911948505e-07,0.8911710958843673,3.2991128233543515e-06,wilcoxon,573.5007168200914,647.8461766142476
Std_Y,0.7972131985661248,1.8285976181724419e-09,0.8887510107400846,2.624567587914301e-06,wilcoxon,204.15578753664022,253.36209718406258
