Measure,Wilcoxon_statistic,P_value,Mean_simplified,Mean_enriched
Mean_X,899.0,0.6930142926446852,736.3547073776303,763.1247394395843
Std_X,807.0,0.23966935411487233,339.3431611559356,358.72661679816264
Mean_Y,515.0,0.0002573972281705998,577.8806573394346,648.3667661191855
Std_Y,736.0,0.0753090863463755,226.01224483806388,282.65012256441514
