Measure,T_statistic,P_value,Mean_first_minute,Mean_last_minute
Mean_X,-1.1342135544741596,0.32006837690679923,735.9921845196716,929.8853175750614
Std_X,1.4765067008002053,0.21385574615355626,393.08298928596474,336.59519373859183
Mean_Y,-0.1845037703756637,0.8625948586900858,557.5255514104191,571.1662503820517
Std_Y,-1.9799579579136475,0.11880731254295575,251.20117660134738,345.5755857940563
