Participant,Timestamp,X,Y
P3,78630269.3123,1547.22500103355,895.196080370808
P3,78630299.5155,1549.83613666626,885.873985616289
P3,78630329.6197,1554.99558922536,889.677344329517
P3,78630359.8519,1546.89550022602,888.299134392997
P3,78630388.7831,1496.26653077925,885.589897859134
P3,78630419.9991,463.104742557572,970.968703332991
P3,78630450.274,375.426049128469,976.097226007033
P3,78630480.8303,387.124112249029,965.977590310831
P3,78630510.9723,391.531550513777,965.57067978123
P3,78630541.2314,391.453543494967,965.615523214356
P3,78630571.4105,342.099551660412,962.244722191499
P3,78630601.6008,336.053147772827,961.357163926413
P3,78630632.0146,322.152755275449,962.038394317966
P3,78630661.6948,317.423298812392,959.407288080647
P3,78630692.2804,315.935470373434,953.420275897632
P3,78630722.4046,318.744749175807,959.777906930458
P3,78630752.7091,320.860048206212,957.051229793596
P3,78630782.8156,326.08410884836,969.6327575319
P3,78630813.0347,485.479870927531,940.801250656456
P3,78630843.0834,517.088621961125,946.351006586264
P3,78630873.2863,518.168371279006,944.712766562789
P3,78630903.5669,522.740256033626,950.384053863983
P3,78630933.5294,524.885077550189,948.083070220402
P3,78630964.1055,528.421990627627,941.144327857358
P3,78630994.1813,522.131214940652,947.400214224867
P3,78631024.5891,527.226385355,953.508689676908
P3,78631054.723,526.94057453656,958.07822023525
P3,78631084.8825,576.732199588706,958.719877292301
P3,78631114.8549,694.489795876358,946.438554437738
P3,78631144.9996,741.482162912515,941.735641534775
P3,78631175.531,738.405078794815,938.250980732707
P3,78631205.5419,729.990616576862,928.372886621691
P3,78631235.7383,737.099400272754,936.570794624828
P3,78631266.1025,739.127844199257,948.270318380758
P3,78631296.2333,736.843428075724,947.423446329062
P3,78631326.6393,733.743896568295,941.53845615949
P3,78631356.5436,737.824488396214,941.542686214584
P3,78631386.9401,743.260118895375,937.030502054195
P3,78631417.101,744.20240376474,935.983757965841
P3,78631447.3404,740.371758320078,935.27207274693
P3,78631477.3697,743.240207895013,936.569084159256
P3,78631506.9819,740.214959279525,939.417535125528
P3,78631536.6563,962.214464388296,924.23098533838
P3,78631567.0448,999.276585571972,927.442916925716
